qty_slash_url,length_url,qty_dot_domain,domain_length,qty_dot_directory,qty_slash_directory,qty_equal_directory,qty_at_directory,qty_and_directory,qty_percent_directory,directory_length,qty_hyphen_file,qty_plus_file,qty_dollar_file,file_length,time_response,asn_ip,time_domain_activation,time_domain_expiration,ttl_hostname,phishing,url
2,22,1,10,0,0,0,0,0,0,0,0,0,0,0,93.29676628112793,14618,14667,391,600,0,https://www.gatech.edu
2,25,1,10,0,0,0,0,0,0,0,0,0,0,0,1681.5667152404785,14618,14667,391,600,0,https://www.cc.gatech.edu
2,23,1,10,0,0,0,0,0,0,0,0,0,0,0,1440.0084018707275,16509,14667,391,600,0,https://grad.gatech.edu
2,24,1,11,0,0,0,0,0,0,0,0,0,0,0,310.90760231018066,26,14964,757,600,0,https://tech.cornell.edu
2,23,1,11,0,0,0,0,0,0,0,0,0,0,0,1138.5667324066162,26,14964,757,600,0,https://www.cornell.edu
2,19,1,7,0,0,0,0,0,0,0,0,0,0,0,1521.9087600708008,9,15046,391,600,0,https://www.cmu.edu
2,25,1,7,0,0,0,0,0,0,0,0,0,0,0,1881.7291259765625,9,15046,391,600,0,https://www.heinz.cmu.edu
2,23,1,7,0,0,0,0,0,0,0,0,0,0,0,1403.8984775543213,9,15046,391,600,0,https://www.ini.cmu.edu
2,16,1,8,0,0,0,0,0,0,0,0,0,0,0,972.2857475280762,13371,14642,391,297,0,https://duke.edu
2,22,1,8,0,0,0,0,0,0,0,0,0,0,0,1243.0670261383057,13371,14642,391,295,0,https://pratt.duke.edu
2,19,1,7,0,0,0,0,0,0,0,0,0,0,0,268.8300609588623,5723,14352,391,600,0,https://www.jhu.edu
2,27,1,7,0,0,0,0,0,0,0,0,0,0,0,263.12732696533203,5723,14352,391,600,0,https://engineering.jhu.edu
2,19,1,7,0,0,0,0,0,0,0,0,0,0,0,857.6030731201172,12,14514,391,58,0,https://www.nyu.edu
2,27,1,7,0,0,0,0,0,0,0,0,0,0,0,1381.8695545196533,12,14514,391,56,0,https://engineering.nyu.edu
2,28,1,16,0,0,0,0,0,0,0,0,0,0,0,340.42906761169434,156,14711,391,600,0,https://www.northeastern.edu
2,35,1,16,0,0,0,0,0,0,0,0,0,0,0,987.4205589294434,156,14711,391,600,0,https://www.khoury.northeastern.edu
2,15,1,7,0,0,0,0,0,0,0,0,0,0,0,1252.429485321045,16509,14887,26,600,0,https://uci.edu
2,23,1,7,0,0,0,0,0,0,0,0,0,0,0,-1,16509,14887,26,600,0,https://www.ics.uci.edu
2,19,1,7,0,0,0,0,0,0,0,0,0,0,0,957.3287963867188,209242,14948,26,49,0,https://www.umd.edu
2,22,1,7,0,0,0,0,0,0,0,0,0,0,0,1295.105218887329,209242,14948,26,46,0,https://www.cs.umd.edu
2,20,1,7,0,0,0,0,0,0,0,0,0,0,0,1387.0084285736084,209242,14948,26,43,0,https://mage.umd.edu
2,19,1,7,0,0,0,0,0,0,0,0,0,0,0,801.5341758728027,16625,15017,391,18,0,https://www.mit.edu
2,24,1,12,0,0,0,0,0,0,0,0,0,0,0,224.6699333190918,32,14883,757,600,0,https://www.stanford.edu
2,23,1,12,0,0,0,0,0,0,0,0,0,0,0,1020.270586013794,32,14883,757,600,0,https://cs.stanford.edu
2,24,1,12,0,0,0,0,0,0,0,0,0,0,0,205.8107852935791,209242,15046,391,298,0,https://www.berkeley.edu
2,25,1,12,0,0,0,0,0,0,0,0,0,0,0,546.978235244751,209242,15046,391,296,0,https://eecs.berkeley.edu
2,24,1,12,0,0,0,0,0,0,0,0,0,0,0,1273.4887599945068,8075,10764,391,600,0,https://www.illinois.edu
2,23,1,12,0,0,0,0,0,0,0,0,0,0,0,1215.0671482086182,8075,10764,391,600,0,https://cs.illinois.edu
3,32,1,10,0,0,0,0,0,0,0,0,0,0,9,853.9936542510986,16509,14667,391,600,0,https://www.gatech.edu/admission
2,19,1,7,0,0,0,0,0,0,0,0,0,0,0,79.92720603942871,54113,14928,26,8,0,https://www.usc.edu
2,27,1,7,0,0,0,0,0,0,0,0,0,0,0,-1,54113,14928,26,7,0,https://www.viterbi.usc.edu
2,26,1,14,0,0,0,0,0,0,0,0,0,0,0,1687.577724456787,73,14548,391,28,0,https://www.washington.edu
2,29,1,14,0,0,0,0,0,0,0,0,0,0,0,1589.8118019104004,73,14548,391,26,0,https://www.cs.washington.edu
2,22,1,10,0,0,0,0,0,0,0,0,0,0,0,301.5720844268799,54113,14935,391,599,0,https://www.utexas.edu
2,25,1,10,0,0,0,0,0,0,0,0,0,0,0,1954.3302059173584,54113,14935,391,595,0,https://www.cs.utexas.edu
3,32,1,10,0,0,0,0,0,0,0,0,0,0,9,872.1523284912109,14618,14667,391,600,0,https://www.gatech.edu/academics
2,22,1,10,0,0,0,0,0,0,0,0,0,0,0,1205.857515335083,17,15046,26,600,0,https://www.purdue.edu
2,25,1,10,0,0,0,0,0,0,0,0,0,0,0,1395.9176540374756,17,15046,26,600,0,https://www.cs.purdue.edu
2,20,1,8,0,0,0,0,0,0,0,0,0,0,0,884.357213973999,59,14887,391,600,0,https://www.wisc.edu
2,23,1,8,0,0,0,0,0,0,0,0,0,0,0,2791.6040420532227,59,14887,391,600,0,https://www.cs.wisc.edu
2,21,1,9,0,0,0,0,0,0,0,0,0,0,0,796.6830730438232,13335,14880,391,600,0,https://www.umich.edu
2,27,1,9,0,0,0,0,0,0,0,0,0,0,0,495.70465087890625,13335,14880,391,600,0,https://cse.engin.umich.edu
2,24,1,12,0,0,0,0,0,0,0,0,0,0,0,235.51630973815918,13335,14974,391,600,0,https://www.columbia.edu
2,27,1,12,0,0,0,0,0,0,0,0,0,0,0,1871.4072704315186,13335,14974,391,600,0,https://www.cs.columbia.edu
3,31,1,10,0,0,0,0,0,0,0,0,0,0,8,1177.0431995391846,14618,14667,391,600,0,https://www.gatech.edu/research
2,20,1,8,0,0,0,0,0,0,0,0,0,0,0,304.3966293334961,11442,14324,757,600,0,https://www.ncsu.edu
2,24,1,8,0,0,0,0,0,0,0,0,0,0,0,1498.0242252349854,11442,14324,757,600,0,https://www.csc.ncsu.edu
2,19,1,7,0,0,0,0,0,0,0,0,0,0,0,150.46334266662598,13335,14222,391,119,0,https://www.asu.edu
2,32,1,7,0,0,0,0,0,0,0,0,0,0,0,493.10946464538574,13335,14222,391,117,0,https://scai.engineering.asu.edu
2,21,2,9,0,0,0,0,0,0,0,0,0,0,0,293.4560775756836,786,10929,-1,58,0,https://www.ucl.ac.uk
3,38,2,9,0,0,0,0,0,0,0,1,0,0,16,28.392791748046875,786,10929,-1,57,0,https://www.ucl.ac.uk/computer-science
2,28,2,16,0,0,0,0,0,0,0,0,0,0,0,193.39752197265625,16509,10929,-1,600,0,https://www.manchester.ac.uk
2,31,2,16,0,0,0,0,0,0,0,0,0,0,0,639.6820545196533,16509,10929,-1,600,0,https://www.cs.manchester.ac.uk
2,26,2,14,0,0,0,0,0,0,0,0,0,0,0,1437.0155334472656,786,10929,-1,600,0,https://www.imperial.ac.uk
2,20,2,8,0,0,0,0,0,0,0,0,0,0,0,252.55632400512695,16509,10929,-1,298,0,https://www.ox.ac.uk
2,21,2,9,0,0,0,0,0,0,0,0,0,0,0,67.16775894165039,54113,10929,-1,299,0,https://www.cam.ac.uk
2,20,2,8,0,0,0,0,0,0,0,0,0,0,0,359.5013618469238,786,10929,-1,600,0,https://www.ed.ac.uk
2,24,2,8,0,0,0,0,0,0,0,0,0,0,0,707.2491645812988,786,10929,-1,600,0,https://www.inf.ed.ac.uk
2,21,2,9,0,0,0,0,0,0,0,0,0,0,0,1014.1513347625732,786,10929,-1,59,0,https://www.kcl.ac.uk
2,21,2,13,0,0,0,0,0,0,0,0,0,0,0,784.7013473510742,201773,10929,-1,600,0,https://warwick.ac.uk
2,25,2,13,0,0,0,0,0,0,0,0,0,0,0,1308.7434768676758,786,10929,-1,299,0,https://www.bristol.ac.uk
2,29,2,17,0,0,0,0,0,0,0,0,0,0,0,700.5362510681152,786,10929,-1,600,0,https://www.southampton.ac.uk
2,21,2,9,0,0,0,0,0,0,0,0,0,0,0,832.7634334564209,786,10929,-1,600,0,https://www.gla.ac.uk
2,23,2,11,0,0,0,0,0,0,0,0,0,0,0,549.9608516693115,16509,10929,-1,299,0,https://www.leeds.ac.uk
2,27,2,15,0,0,0,0,0,0,0,0,0,0,0,1252.5098323822021,786,10929,-1,598,0,https://www.sheffield.ac.uk
2,28,2,16,0,0,0,0,0,0,0,0,0,0,0,824.7978687286377,786,10929,-1,600,0,https://www.birmingham.ac.uk
2,28,2,16,0,0,0,0,0,0,0,0,0,0,0,1029.646396636963,60885,10929,-1,298,0,https://www.nottingham.ac.uk
2,22,2,10,0,0,0,0,0,0,0,0,0,0,0,329.67519760131836,16509,10929,-1,298,0,https://www.qmul.ac.uk
2,22,2,10,0,0,0,0,0,0,0,0,0,0,0,670.5713272094727,786,10929,-1,600,0,https://www.bath.ac.uk
2,18,1,6,0,0,0,0,0,0,0,0,0,0,0,122.13420867919922,16509,9811,51,297,0,https://www.tcd.ie
2,23,1,6,0,0,0,0,0,0,0,0,0,0,0,4070.158004760742,16509,9811,51,292,0,https://www.scss.tcd.ie
2,18,1,6,0,0,0,0,0,0,0,0,0,0,0,208.56761932373047,16509,10683,274,599,0,https://www.ucd.ie
2,33,1,21,0,0,0,0,0,0,0,0,0,0,0,420.33982276916504,16509,1547,278,600,0,https://www.universityofgalway.ie
2,17,1,5,0,0,0,0,0,0,0,0,0,0,0,229.62617874145508,54113,9790,437,600,0,https://www.ul.ie
2,18,1,6,0,0,0,0,0,0,0,0,0,0,0,653.0311107635498,16509,9738,180,600,0,https://www.dcu.ie
2,17,1,5,0,0,0,0,0,0,0,0,0,0,0,667.853593826294,8075,3722,295,600,0,https://www.mu.ie
2,18,1,6,0,0,0,0,0,0,0,0,0,0,0,785.3999137878418,8075,9790,437,298,0,https://www.ucc.ie
2,22,2,10,0,0,0,0,0,0,0,0,0,0,0,281.0518741607666,19551,10896,-1,299,0,https://www.nus.edu.sg
2,27,2,10,0,0,0,0,0,0,0,0,0,0,0,409.76953506469727,19551,10896,-1,299,0,https://www.comp.nus.edu.sg
3,22,2,10,0,0,0,0,0,0,0,0,0,0,3,562.9117488861084,19551,10896,-1,298,0,https://nus.edu.sg/oam
2,22,2,10,0,0,0,0,0,0,0,0,0,0,0,128.80635261535645,13335,10936,-1,600,0,https://www.ntu.edu.sg
3,27,2,10,0,0,0,0,0,0,0,0,0,0,4,989.5679950714111,13335,10936,-1,600,0,https://www.ntu.edu.sg/scse
2,22,2,10,0,0,0,0,0,0,0,0,0,0,0,246.7663288116455,19551,10357,-1,600,0,https://www.smu.edu.sg
2,23,2,11,0,0,0,0,0,0,0,0,0,0,0,1244.0690994262695,19551,6048,-1,1,0,https://www.sutd.edu.sg
2,23,1,11,0,0,0,0,0,0,0,0,0,0,0,84.80238914489746,54113,9409,1701,179,0,https://www.utoronto.ca
2,26,1,11,0,0,0,0,0,0,0,0,0,0,0,1725.053071975708,239,14667,391,600,0,https://www.cs.toronto.edu
2,20,1,12,0,0,0,0,0,0,0,0,0,0,0,310.7924461364746,54113,9417,1304,284,0,https://uwaterloo.ca
2,23,1,12,0,0,0,0,0,0,0,0,0,0,0,1851.731300354004,54113,9417,1304,281,0,https://cs.uwaterloo.ca
2,18,1,6,0,0,0,0,0,0,0,0,0,0,0,337.02874183654785,16509,9402,923,299,0,https://www.ubc.ca
2,21,1,9,0,0,0,0,0,0,0,0,0,0,0,960.6277942657471,15318,9396,191,299,0,https://www.mcgill.ca
2,26,2,14,0,0,0,0,0,0,0,0,0,0,0,145.6303596496582,55532,-1,-1,600,0,https://www.unimelb.edu.au
2,25,2,13,0,0,0,0,0,0,0,0,0,0,0,217.03648567199707,8075,-1,-1,600,0,https://www.sydney.edu.au
2,23,2,11,0,0,0,0,0,0,0,0,0,0,0,422.2686290740967,16509,-1,-1,41,0,https://www.unsw.edu.au
2,22,2,10,0,0,0,0,0,0,0,0,0,0,0,807.3067665100098,7575,-1,-1,298,0,https://www.anu.edu.au
2,22,1,10,0,0,0,0,0,0,0,0,0,0,0,133.91780853271484,55532,9646,391,600,0,https://www.monash.edu
2,19,1,7,0,0,0,0,0,0,0,0,0,0,0,3257.4548721313477,559,-1,-1,299,0,https://www.ethz.ch
2,19,1,7,0,0,0,0,0,0,0,0,0,0,0,465.5301570892334,559,-1,-1,600,0,https://www.epfl.ch
2,22,1,10,0,0,0,0,0,0,0,0,0,0,0,605.7636737823486,1128,14226,-1,599,0,https://www.tudelft.nl
2,18,1,6,0,0,0,0,0,0,0,0,0,0,0,1653.487205505371,12816,-1,-1,300,0,https://www.tum.de
2,18,1,6,0,0,0,0,0,0,0,0,0,0,0,1694.8106288909912,1653,14920,179,600,0,https://www.kth.se
2,18,1,6,0,0,0,0,0,0,0,0,0,0,0,1699.0816593170166,16509,13779,-1,600,0,https://www.uva.nl
2,33,1,10,0,0,0,0,0,0,0,0,0,0,0,-1,14618,14667,391,600,0,https://gradadmissions.gatech.edu
2,24,1,12,0,0,0,0,0,0,0,0,0,0,0,-1,26569,11050,134,298,0,https://app.applyweb.com
2,24,1,10,0,0,0,0,0,0,0,0,0,0,0,867.056131362915,14618,11397,657,58,0,https://apply.embark.com
2,29,1,11,0,0,0,0,0,0,0,0,0,0,0,-1,26,14964,757,600,0,https://applygrad.cornell.edu
2,25,1,7,0,0,0,0,0,0,0,0,0,0,0,-1,9,15046,391,600,0,https://gradapply.cmu.edu
2,24,1,8,0,0,0,0,0,0,0,0,0,0,0,-1,13371,14642,391,81,0,https://applyto.duke.edu
2,26,1,7,0,0,0,0,0,0,0,0,0,0,0,-1,5723,14352,391,600,0,https://apply.grad.jhu.edu
2,20,1,7,0,0,0,0,0,0,0,0,0,0,0,980.8664321899414,12,14514,391,59,0,https://gsas.nyu.edu
2,25,1,13,0,0,0,0,0,0,0,0,0,0,0,137.69173622131348,16509,10307,2840,57,0,https://www.commonapp.org
2,27,1,13,0,0,0,0,0,0,0,0,0,0,0,750.6139278411865,16509,10307,2840,54,0,https://apply.commonapp.org
2,27,1,15,0,0,0,0,0,0,0,0,0,0,0,219.96212005615234,13335,10856,99,298,0,https://www.gradschools.com
2,25,1,13,0,0,0,0,0,0,0,0,0,0,0,1144.2084312438965,16509,11825,228,56,0,https://www.petersons.com
3,44,1,10,0,0,0,0,0,0,0,2,0,0,21,-1,20940,11488,2757,18,0,https://www.usnews.com/best-graduate-schools
2,36,1,24,0,0,0,0,0,0,0,0,0,0,0,211.0440731048584,16509,-1,-1,54,0,https://www.timeshighereducation.com
